State,republican_pct,israel_palestine_salience,china_geopolitics_salience,border_security_salience,fentanyl_drugs_salience,inflation_economy_salience,crypto_markets_salience,tax_policy_salience,student_loans_salience,labor_unions_salience,race_discourse_salience,gender_abortion_salience,climate_environment_salience,felon_conviction_salience,project_2025_salience,authoritarian_rhetoric_salience,covid_vaccine_salience,healthcare_medicare_salience
Alabama,0.8210285132382892,0.6191163040491258,0.3746277401437282,0.6481633443364976,0.0,0.5063418796552706,0.2058657888153854,0.41941102357219356,0.30744932927642515,0.24872627458950747,0.6257635692303931,0.2168497786913208,0.3037728865658982,0.5211502434078761,0.6704220549023606,0.5073055189073821,0.10411647975051269,0.1556659330432059
Alaska,0.5656822810590632,0.9244955610195557,0.2545863851172232,0.46345748540770165,0.3211003814956004,0.3137478782735116,0.9984074317232852,0.5292908474298094,0.597981466250506,0.20627753307061622,0.4451462913521171,0.3730649052284552,0.6937829212903168,0.3502967740943083,1.0,0.37263116853014006,0.06938191197763724,0.03299716150682667
Arizona,0.5066191446028514,0.3012655727525276,0.3725726600082405,0.9109397807199523,0.3193472002823049,0.39626536900777387,0.24334772182777586,0.39282529423162055,0.2800902622484712,0.14982197930530214,0.6435718693175545,0.29957239333716285,0.1986217730439078,0.5408457002543574,0.5770725546469362,0.26650059488974226,0.1367281243222998,0.1517156694969252
Arkansas,0.8116089613034625,0.23791563602648588,0.1742566066884698,0.6708734136552731,0.4119137604380194,0.7712765030674147,0.2725615049611171,0.5323952403913846,0.43742895566542317,0.16424034758019262,0.39073057315098,0.27624410816182354,0.3068289960293531,0.4892776585486573,0.4682507808733357,0.23427015685374003,0.1536929115655838,0.21544678982406706
California,0.15300407331975557,0.6877163684014846,0.3867999182409975,0.4822496778082506,0.21788197951201385,0.45819752896834054,0.8086022757844249,0.2741335242273845,0.09116256879588405,0.34843092489835864,0.7024636851956563,0.38365496345194744,0.2815805841637751,0.39905504569275224,0.651893584851554,0.2911384749433324,0.155637459605656,0.07109988127965566
Colorado,0.27545824847250516,0.4871820864157125,0.32039235623944023,0.6259137088627215,0.46062335318013065,0.5606628464111079,0.4962288617592619,0.6054998374157861,0.40020662992275946,0.1915120183736441,0.26983787014853633,0.6485064273311097,0.4198173299050999,0.6259069150039872,0.43089912810710057,0.40692808520933826,0.18111075756856243,0.08372908697603831
Connecticut,0.24363543788187378,0.3449430483326227,0.31877185456811397,0.4912335367463029,0.06567518779591555,0.8774505610428275,0.24435920802452224,0.5545654188325836,0.2564990502017722,0.24251976651079366,0.6798198502190975,0.1474036380153599,0.31100627020350546,0.5546979607141986,0.5548458485720568,0.25258949143295323,0.09235336623639906,0.03459596762540412
Delaware,0.24108961303462323,0.11788365718220654,0.27972407663120896,0.23793596996763458,0.24452728376901695,0.7007962155120551,0.10882490587721097,0.4016812015251365,0.0538128263684737,0.2932479089482992,0.6061683897907082,0.47254653933770185,0.0,0.7490721129162284,0.42382932979287813,0.0,0.0267535661654497,0.08959539553212631
Florida,0.6051425661914462,0.4618074718270215,0.37606072679532293,0.7850724717588622,0.3121327191979437,0.4473707690922785,0.5085218785876079,0.23259701191550566,0.10898456762693977,0.0709913371324422,0.629554497632374,0.10606923795835425,0.1703159024698083,0.4509540337328842,0.6292165138963371,0.23959371405829658,0.1803759622285745,0.17124098289740788
Georgia,0.46843177189409374,0.26821519800328875,0.23075816759606543,0.46477128742624085,0.11280168260453317,0.6129423124287703,0.3525766008068232,0.5522811136248865,0.24252851729574695,0.17394945337583118,0.8799565365348834,0.4281796686727521,0.10144684940218422,0.43149608943142215,0.6533282935003573,0.2410120290087607,0.136727577343964,0.1436909081178662
Hawaii,0.1313645621181262,0.539021709034802,0.5212390266621946,0.943946646311063,0.14292989958315916,0.6562890205685091,0.8729499545274991,0.0,0.044883635934235694,0.37701231264679447,0.30274247632635015,0.45005972056992133,0.5045828280302426,1.0,0.7668833764607966,0.17573266559080922,0.17901239051092693,0.16199000307159797
Idaho,0.8795824847250512,0.41957031477665857,0.35876099562182795,0.8555987984985944,0.1954382634241991,0.5648481388812905,0.7168464160161561,0.3386053204285325,0.23146084597299144,0.24354018304194178,0.5407742751532526,0.3119490146790516,0.237409553508067,0.2720259767082853,0.6325883910756478,0.5197640384776703,0.15170714992342887,0.061194710418941534
Illinois,0.2838594704684318,0.4004647589675857,0.26321954775190937,0.4342686584289641,0.23126849661978993,0.6528805197035644,0.3250989535037609,0.4245929248313143,0.2846559221460783,0.5100582670002941,0.6278034550936478,0.30459922697870284,0.12391423988162824,0.2767271249769373,0.43070805117978733,0.224399538367027,0.13920322547285024,0.06311203899388453
Indiana,0.6685336048879837,0.23489972501826792,0.4360312375184145,0.36399926436413405,0.15552730506031245,0.45495237690473617,0.24451977912967932,0.6242212472514379,0.3492422826716346,0.2851676681215997,0.49010368953109895,0.5448594569380006,0.13493283734660894,0.3210397592617903,0.42909845807707636,0.3306095393437349,0.11194006973635967,0.18197501579704517
Iowa,0.5959775967413442,0.13963688450463196,0.32731597937013046,0.3579406857484601,0.3491359970634144,0.3288306063610747,0.1723042879853831,0.7553999028421938,0.7182073834522754,0.41482547289437216,0.287602043383761,0.8148773145404292,0.5849798483084919,0.5681803090201549,0.7430824449791901,0.25816366276806607,0.181183466679618,0.10427190332243108
Kansas,0.6323828920570265,0.21906130162150678,0.5228486292792763,0.6891504155820806,0.04289070945769202,0.4048744679017876,0.19564120982109673,0.6275946384083743,0.38412798600203585,0.5018604343671572,0.40612849968391473,0.7115385927250755,0.1289699100010922,0.7894715360856822,0.5848220586137037,0.33069613748594534,0.12440679177827264,0.16246663692811317
Kentucky,0.8184826883910388,0.3970037209520026,0.3213807777342663,0.49811824796024007,0.22207335013327834,0.3356553189904477,0.29221892842315556,0.37273374096339595,0.4129611442834944,0.2773872509071844,0.5011826927768096,0.3923383291211455,0.2950303474564671,0.37849036356399585,0.3946921482088706,0.2559413354245986,0.12002133276538973,0.16543038838462218
Louisiana,0.7102851323828921,0.37370548294597855,0.42529225074100174,0.7895449488944797,0.28507263159599733,0.5137096168047253,0.2821023395671091,0.619763780802844,0.4433588726792544,0.17246031500695924,0.8293317287740867,0.1646926378079782,0.28484788030474517,0.43640813087843006,0.3602821241570327,0.4204124831114941,0.15349875101002966,0.16076232765942425
Maine,0.33452138492871697,0.607771588825287,0.32155684139658797,0.6634709557349415,0.47509715134948466,0.5334242594189285,0.3198366153623617,0.27351096735970243,0.29328549217745487,0.21591404851538926,0.7489319868137775,0.5909640174287808,0.4743029508307704,0.25204236873676,0.4534821572485203,0.33705154431020085,0.154609635691871,0.09942018424796703
Maryland,0.044806517311608916,0.5532374068318481,0.26397730343239395,0.344911140529654,0.07643162740941763,0.4994995438841824,0.3535830993264672,0.6240996976405486,0.5257981247269168,0.4766226048037475,0.7829273119012213,0.3161058296680319,0.11541621218214114,0.7738884178857292,0.4567604338174068,0.32372993208195205,0.14999813568731538,0.03974270323853171
Massachusetts,0.09419551934826892,0.6330798508048955,0.3225739287666787,0.47465074659525386,0.6538799907537541,0.7624497677783688,0.5532016930170298,0.5577988918732701,0.19725121408480156,0.47577489010799234,0.5426572628136905,0.3970438278479606,0.32307620322941977,0.5963793746619106,0.40743809898057726,0.2591648563494342,0.3802537302576659,0.10476417760154724
Michigan,0.4432281059063136,0.4524128253370151,0.4052318211993967,0.3971423902300111,0.2256633563924063,0.4344861725911363,0.1876504699179984,0.4210745874367493,0.3268829689619247,0.9113307620731463,0.5474121257015099,0.29777062734986054,0.1651850783811652,0.4888924229952821,0.6406484421488365,0.29452523525867186,0.20185983412502426,0.158394546454205
