"model_id","family","label","n_predictors","r2","adj_r2","paths","error"
"macro_subset_25","macro_subsets","DEMLAW + IMMIG + SOCISS",3,0.181207129746647,0.127807594730124,"DEMLAW 0.04; IMMIG 0.437; SOCISS -0.062",NA
"macro_subset_44","macro_subsets","DEMLAW + ECON + IMMIG + SOCISS",4,0.19340829995678,0.121711259952939,"DEMLAW 0.079; ECON -0.117; IMMIG 0.434; SOCISS -0.063",NA
"macro_subset_52","macro_subsets","DEMLAW + DOMPOL + ECON + FORPOL + SOCISS",5,0.211006222427924,0.121347838612915,"DEMLAW 0.239; DOMPOL 0.226; ECON -0.041; FORPOL -0.395; SOCISS 0.059",NA
"macro_subset_3","macro_subsets","DEMLAW + FORPOL",2,0.152760886023354,0.116708157769029,"DEMLAW 0.208; FORPOL -0.435",NA
"macro_subset_30","macro_subsets","DOMPOL + FORPOL + SOCISS",3,0.167824607001704,0.113552298762685,"DOMPOL 0.219; FORPOL -0.303; SOCISS 0.033",NA
"macro_subset_26","macro_subsets","DOMPOL + ECON + FORPOL",3,0.166805317696009,0.112466534067488,"DOMPOL 0.226; ECON 0.003; FORPOL -0.3",NA
"macro_subset_24","macro_subsets","DEMLAW + FORPOL + SOCISS",3,0.162875471586324,0.108280393646302,"DEMLAW 0.224; FORPOL -0.45; SOCISS 0.102",NA
"macro_subset_20","macro_subsets","DEMLAW + ECON + FORPOL",3,0.153871314501183,0.0986890089251732,"DEMLAW 0.217; ECON -0.036; FORPOL -0.426",NA
"macro_subset_47","macro_subsets","DOMPOL + ECON + FORPOL + SOCISS",4,0.167854797849487,0.0938863354361079,"DOMPOL 0.219; ECON 0.006; FORPOL -0.305; SOCISS 0.033",NA
"macro_subset_43","macro_subsets","DEMLAW + ECON + FORPOL + SOCISS",4,0.163678983625069,0.0893393377250751,"DEMLAW 0.231; ECON -0.031; FORPOL -0.443; SOCISS 0.1",NA
"macro_subset_14","macro_subsets","FORPOL + SOCISS",2,0.123172680117931,0.0858608792718857,"FORPOL -0.349; SOCISS 0.074",NA
"macro_subset_10","macro_subsets","ECON + FORPOL",2,0.117855882047859,0.0803178344754278,"ECON 0.008; FORPOL -0.346",NA
"macro_subset_33","macro_subsets","ECON + FORPOL + SOCISS",3,0.123353818719003,0.066181241678938,"ECON 0.014; FORPOL -0.354; SOCISS 0.075",NA
"macro_subset_6","macro_subsets","DOMPOL + ECON",2,0.0902070962200001,0.0514925045697873,"DOMPOL 0.279; ECON -0.098",NA
"macro_subset_1","macro_subsets","DEMLAW + DOMPOL",2,0.0835181559908332,0.0445189285861878,"DEMLAW 0.054; DOMPOL 0.291",NA
"macro_subset_9","macro_subsets","DOMPOL + SOCISS",2,0.0806364095288318,0.041514554615165,"DOMPOL 0.284; SOCISS -0.003",NA
"macro_subset_16","macro_subsets","DEMLAW + DOMPOL + ECON",3,0.0985219747368254,0.0397299296109662,"DEMLAW 0.097; DOMPOL 0.291; ECON -0.13",NA
"macro_subset_28","macro_subsets","DOMPOL + ECON + SOCISS",3,0.0902502237572492,0.0309187166109828,"DOMPOL 0.28; ECON -0.098; SOCISS -0.007",NA
"macro_subset_19","macro_subsets","DEMLAW + DOMPOL + SOCISS",3,0.0835189631317225,0.0237484607272695,"DEMLAW 0.054; DOMPOL 0.291; SOCISS 0.001",NA
"macro_subset_38","macro_subsets","DEMLAW + DOMPOL + ECON + SOCISS",4,0.0985231127467177,0.0183918338797593,"DEMLAW 0.097; DOMPOL 0.291; ECON -0.13; SOCISS -0.001",NA
"macro_subset_2","macro_subsets","DEMLAW + ECON",2,0.0155478847459962,-0.0263436946265145,"DEMLAW 0.06; ECON -0.131",NA
"macro_subset_12","macro_subsets","ECON + SOCISS",2,0.0139441236940717,-0.0280157008295849,"ECON -0.109; SOCISS 0.04",NA
"macro_subset_5","macro_subsets","DEMLAW + SOCISS",2,0.00246899039868842,-0.0399791376694525,"DEMLAW 0.021; SOCISS 0.047",NA
"macro_subset_22","macro_subsets","DEMLAW + ECON + SOCISS",3,0.0175582495771329,-0.0465140384939238,"DEMLAW 0.064; ECON -0.13; SOCISS 0.045",NA
