"Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI","Bootstrap P Val","model_id","label","path"
0.330003865301035,0.319261185633311,0.114724698661658,2.87648491694252,0.0902728189833359,0.541761593076456,0.0052,"micro_direct_1885","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025 + AUTHORITARIAN","BORDER  ->  VOTE"
0.182813691575142,0.186140732708172,0.132029397698314,1.38464383510155,-0.126438204812291,0.420579387647991,0.172,"micro_direct_1885","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025 + AUTHORITARIAN","HEALTHCARE  ->  VOTE"
-0.219159167826953,-0.209347293668324,0.14789887384708,-1.48181769155019,-0.506074503536186,0.0782284229629531,0.1468,"micro_direct_1885","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025 + AUTHORITARIAN","FELON  ->  VOTE"
0.0871600095394926,0.0912177525197607,0.13267357268848,0.656950798665427,-0.165389378026665,0.352635897969262,0.4828,"micro_direct_1885","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025 + AUTHORITARIAN","PROJECT2025  ->  VOTE"
0.224587560430295,0.23833332901817,0.132792869730549,1.69126219567366,-0.0295255234854935,0.506453137849373,0.0804,"micro_direct_1885","ISRAEL + BORDER + HEALTHCARE + FELON + PROJECT2025 + AUTHORITARIAN","AUTHORITARIAN  ->  VOTE"
-0.355777445966732,-0.365648401099947,0.110399463315973,-3.22263745928244,-0.599693935990113,-0.164933148006535,0.0032,"micro_direct_1846","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN","ISRAEL  ->  VOTE"
0.33424437818865,0.32019844035754,0.118631003376011,2.81751286490627,0.0851215286740545,0.54927370771038,0.006,"micro_direct_1846","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN","BORDER  ->  VOTE"
-0.0847526655929232,-0.119467503405192,0.176251588192359,-0.480861854705248,-0.45752113940315,0.231129244052069,0.5084,"micro_direct_1846","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN","INFLATION  ->  VOTE"
0.187713424167541,0.181685888900235,0.176213840189195,1.06525925526621,-0.207120767026342,0.493729540246503,0.3016,"micro_direct_1846","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN","HEALTHCARE  ->  VOTE"
-0.212062326001154,-0.209008937207541,0.145305658235114,-1.45942235544622,-0.497156567615449,0.0689789886699386,0.1356,"micro_direct_1846","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN","FELON  ->  VOTE"
0.22738281092303,0.233946666794181,0.144416568015946,1.5744925533608,-0.0487123344109728,0.522973352578603,0.1076,"micro_direct_1846","ISRAEL + BORDER + INFLATION + HEALTHCARE + FELON + AUTHORITARIAN","AUTHORITARIAN  ->  VOTE"
-0.434028995205695,-0.422580750896602,0.116330829843144,-3.73098855901675,-0.655214148274652,-0.188679265201171,0.0024,"micro_direct_1807","ISRAEL + BORDER + FENTANYL + HEALTHCARE + TAX + AUTHORITARIAN","ISRAEL  ->  VOTE"
0.302624357755865,0.290751784243705,0.123605516649912,2.44830785840239,0.0373594415876904,0.515819944034932,0.024,"micro_direct_1807","ISRAEL + BORDER + FENTANYL + HEALTHCARE + TAX + AUTHORITARIAN","BORDER  ->  VOTE"
-0.135152651791867,-0.139677812624539,0.121867705699614,-1.10901121027911,-0.362726540233357,0.111688060928537,0.2484,"micro_direct_1807","ISRAEL + BORDER + FENTANYL + HEALTHCARE + TAX + AUTHORITARIAN","FENTANYL  ->  VOTE"
0.305848110797761,0.312598451901428,0.142295898209941,2.14938107595004,-0.0328807579555668,0.556366497221267,0.0704,"micro_direct_1807","ISRAEL + BORDER + FENTANYL + HEALTHCARE + TAX + AUTHORITARIAN","HEALTHCARE  ->  VOTE"
